,,,,,
id,lon,lat,hora,fecha,date
373,-75.61895,6.21567,16:28,2019-04-18,2019-04-18 16:28
374,-75.61738,6.26488,15:14,2019-04-30,2019-04-30 15:14
375,-75.53462,6.29017,15:23,2019-04-30,2019-04-30 15:23
376,-75.61449,6.21737,10:29,2019-05-01,2019-05-01 10:29
377,-75.64079,6.25474,13:49,2019-05-01,2019-05-01 13:49
378,-75.52097,6.31725,14:30,2019-05-01,2019-05-01 14:30
379,-75.62400,6.29499,14:56,2019-05-01,2019-05-01 14:56
380,-75.47200,6.40000,13:53,2019-05-03,2019-05-03 13:53
381,-75.66700,6.31100,14:05,2019-05-03,2019-05-03 14:05
382,-75.61400,6.21300,14:42,2019-05-03,2019-05-03 14:42
383,-75.62769,6.25535,12:35,2019-05-06,2019-05-06 12:35
384,-75.62630,6.23718,10:49,2019-05-07,2019-05-07 10:49
385,-75.62707,6.20990,12:02,2019-05-16,2019-05-16 12:02
386,-75.53469,6.24636,15:54,2019-06-06,2019-06-06 15:54
387,-75.67745,6.19562,17:41,2019-06-13,2019-06-13 17:41
388,-75.52390,6.23216,15:19,2019-06-14,2019-06-14 15:19
389,-75.58188,6.32235,14:09,2019-06-17,2019-06-17 14:09
390,-75.62386,6.20843,12:03,2019-06-20,2019-06-20 12:03
391,-75.62643,6.28518,13:55,2019-06-20,2019-06-20 13:55
392,-75.55211,6.22647,14:26,2019-06-20,2019-06-20 14:26
393,-75.61340,6.29130,17:28,2019-06-20,2019-06-20 17:28
394,-75.62813,6.24318,12:14,2019-06-21,2019-06-21 12:14
395,-75.62642,6.26393,15:14,2019-06-21,2019-06-21 15:14
396,-75.56384,6.23176,6:44,2019-06-22,2019-06-22 6:44
397,-75.61330,6.29588,14:09,2019-06-22,2019-06-22 14:09
